school_name,fac_schtype
Appling County High School,H
Appling County Elementary School,E
Appling County Middle School,M
Appling County Primary School,E
Altamaha Elementary School,E
Fourth District Elementary School,E
Atkinson County High School,H
Atkinson County Middle School,M
Willacoochee Elementary School,E
Pearson Elementary School,E
Bacon County Primary School,E
Bacon County Middle School,M
Bacon County High School,H
Bacon County Elementary School,E
Baker County K12 School,K12
Oak Hill MS,M
Baldwin High School,H
Lakeview Academy,E
Midway Hills Primary,E
Lakeview Primary,E
Midway Hills Academy,E
Banks County Middle School,M
Banks County Elementary School,E
Banks County High School,H
Banks County Primary School,E
Apalachee High School,H
County Line Elementary School,E
Haymon-Morris Middle School,M
Bear Creek Middle School,M
Kennedy Elementary School,E
Bramlett Elementary School,E
Westside Middle School,M
Bethlehem Elementary School,E
Russell Middle School,M
Yargo Elementary School,E
Winder Elementary School,E
Auburn Elementary School,E
Winder-Barrow High School,H
Holsenbeck Elementary School,E
Statham Elementary School,E
Woodland Middle School at Euharlee,M
Clear Creek Elementary School,E
Adairsville High School,H
Pine Log Elementary,E
Euharlee Elementary School,E
Cass High School,H
Cloverleaf Elementary,E
White Elementary School,E
Adairsville Elementary School,E
Mission Road Elementary School,E
South Central Middle School,M
Cass Middle School,M
Allatoona Elementary School,E
Woodland High School,H
Kingston Elementary School,E
Adairsville Middle School,M
Hamilton Crossing Elementary School,E
Taylorsville Elementary School,E
Emerson Elementary School,E
Ben Hill Elementary School,E
Ben Hill County Primary School,E
Fitzgerald High School,H
Ben Hill County Middle School,M
Berrien High School,H
Berrien Academy Performance Learning Center,H
Berrien Middle School,M
Berrien Elementary School,E
Berrien Primary School,E
Skyview Elementary School,E
Burdell Elementary School,E
Howard High School,H
Ballard Hudson Middle School,M
Bruce Elementary School,E
Academy For Classical Education,K12
Central High School,H
Westside High School,H
Vineville Academy,E
Rutland High School,H
Howard Middle School,M
Northeast High School,H
Miller Magnet Middle School,M
Rutland Middle School,M
Price Academy,M
Williams Elementary School,E
Southwest High School,H
Rosa Taylor Elementary School,E
Weaver Middle School,M
Heritage Elementary School,E
Union Elementary School,E
Riley Elementary School,E
Brookdale Elementary School,E
Alexander II Magnet School,E
Bernd Elementary School,E
Porter Elementary School,E
Springdale Elementary School,E
Carter Elementary School,E
Lane Elementary School,E
Martin Luther King Jr Elementary School,E
Southfield Elementary School,E
Veterans Elementary School,E
Hartley Elementary School,E
Heard Elementary School,E
Ingram/Pye Elementary School,E
Appling Middle School,M
Bleckley County High School,H
Bleckley Middle School,M
Bleckley County Success Academy,H
Bleckley County Elementary School,E
Bleckley County Primary School,E
Waynesville Primary School,E
Atkinson Elementary School,E
Brantley County Middle School,M
